tipo_propiedad,localidad,sup_total,sup_cubierta,precio_m2,ambientes,ratio_sup,amenities,cochera,precio_m2_Media,precio_m2_Mediana,ratio_price_Media,ratio_price_Mediana,sup_cub_exp2,sup_ambientes,pond
apartment,Belgrano,150.0,130.0,4000.0,3.0,1.1538461538461537,0,0,3525.1,3340.0,1.2183887589327265,1.2324723247232472,16900.0,43.333333333333336,305347.5016573796
apartment,Recoleta,140.0,136.0,2780.0,4.0,1.0294117647058822,0,0,3546.9,3310.0,1.2259235451642472,1.2214022140221403,18496.0,34.0,297193.2572311059
apartment,Flores,32.0,32.0,2250.0,1.0,1.0,0,0,2273.3,2270.0,0.7857261256933895,0.8376383763837638,1024.0,32.0,95858.92230193263
apartment,Flores,120.0,50.0,2400.0,2.0,2.4,0,0,2273.3,2270.0,0.7857261256933895,0.8376383763837638,2500.0,25.0,95858.92230193263
apartment,Palermo,175.0,175.0,2170.0,5.0,1.0,0,0,3651.1,3380.0,1.261938440821332,1.2472324723247232,30625.0,35.0,316449.97912540694
apartment,Palermo,43.0,43.0,2210.0,2.0,1.0,0,0,3651.1,3380.0,1.261938440821332,1.2472324723247232,1849.0,21.5,316449.97912540694
apartment,Belgrano,44.0,44.0,2660.0,2.0,1.0,0,0,3525.1,3340.0,1.2183887589327265,1.2324723247232472,1936.0,22.0,305347.5016573796
apartment,Villa Urquiza,97.0,97.0,2370.0,3.0,1.0,0,0,2906.7,2900.0,1.0046496852826179,1.070110701107011,9409.0,32.333333333333336,199870.62210483034
apartment,Villa Devoto,54.0,54.0,2630.0,2.0,1.0,0,0,2615.1,2440.0,0.9038632786261307,0.9003690036900369,2916.0,27.0,119048.6430465577
apartment,Barrio Norte,122.0,122.0,2050.0,5.0,1.0,0,0,3329.3,3050.0,1.1507139358074172,1.1254612546125462,14884.0,24.4,232516.8809503079
apartment,Boca,83.0,74.0,1890.0,3.0,1.1216216216216217,0,0,1944.0,1900.0,0.6719093777099148,0.7011070110701108,5476.0,24.666666666666668,56210.28320214158
PH,Mataderos,326.0,160.0,1530.0,4.0,1.3355701652567655,0,0,1893.1,1855.0,0.6543166887565018,0.6845018450184502,25600.0,40.0,52310.23997619614
apartment,Caballito,28.0,25.0,2620.0,1.0,1.12,0,0,2757.4,2700.0,0.9530467685685797,0.996309963099631,625.0,25.0,161304.4181757913
PH,Mataderos,150.0,150.0,1100.0,3.0,1.3355701652567655,0,0,1893.1,1855.0,0.6543166887565018,0.6845018450184502,22500.0,50.0,52310.23997619614
house,Parque Avellaneda,191.0,166.0,960.0,3.0,1.1833744746866173,0,0,1522.7,1350.0,0.5262944492998392,0.4981549815498155,27556.0,55.333333333333336,20163.052271973913
apartment,Boca,33.0,31.0,1710.0,1.0,1.064516129032258,0,0,1944.0,1900.0,0.6719093777099148,0.7011070110701108,961.0,31.0,56210.28320214158
apartment,Coghlan,104.0,80.0,2680.0,4.0,1.3,0,0,2930.9,2870.0,1.0130139892643977,1.0590405904059041,6400.0,20.0,193731.68719946875
apartment,Palermo,106.0,100.0,3100.0,3.0,1.06,0,0,3651.1,3380.0,1.261938440821332,1.2472324723247232,10000.0,33.333333333333336,316449.97912540694
apartment,Recoleta,43.0,43.0,3880.0,2.0,1.0,0,0,3546.9,3310.0,1.2259235451642472,1.2214022140221403,1849.0,21.5,297193.2572311059
apartment,San Telmo,55.0,55.0,1710.0,3.0,1.0,0,0,2641.9,2600.0,0.9131262268373579,0.959409594095941,3025.0,18.333333333333332,144037.31412171456
apartment,Boca,55.0,55.0,1710.0,3.0,1.0,0,0,1944.0,1900.0,0.6719093777099148,0.7011070110701108,3025.0,18.333333333333332,56210.28320214158
apartment,Barracas,55.0,55.0,1710.0,3.0,1.0,0,0,2344.8,2160.0,0.8104388420031935,0.7970479704797048,3025.0,18.333333333333332,82587.86210600517
apartment,Recoleta,28.0,28.0,3750.0,1.0,1.0,0,0,3546.9,3310.0,1.2259235451642472,1.2214022140221403,784.0,28.0,297193.2572311059
apartment,Recoleta,37.0,37.0,3510.0,1.0,1.0,0,0,3546.9,3310.0,1.2259235451642472,1.2214022140221403,1369.0,37.0,297193.2572311059
